Category,Name,URL,Description,Cost,Details
Sources > People > Professional Registers > Clergy > The Catholic Church > Dioceses,Zielona Góra,https://diecezjazg.pl/dekanaty/,Polish language resource,,
Sources > People > Professional Registers > Clergy > The Catholic Church,Ogólny wykaz księży,https://www.rodzinakulik.eu/ogolny_wykaz_ksiezy/ogolny_wykaz_ksiezy_1_cz_1_a_j.pdf,Web-based resource from rodzinakulik.eu,,
Sources > People > Professional Registers > Clergy > The Catholic Church,Wielkopolscy Księża,http://www.wtg-gniazdo.org/ksieza/main.php?akcja=szukaj,Web-based resource from wtg-gniazdo.org,,
Sources > People > Professional Registers > Clergy,Muzułmański Związek Religijny,https://mzr.pl/imamowie/,Polish language resource,,
Sources > People > Professional Registers > Clergy,Polski Autokefaliczny Kościół Prawosławny,https://www.orthodox.pl/administracja/duszpasterstwo/,Polish language resource,,
Sources > People > Professional Registers > Other,Lista Tłumaczy Przysięgłych,https://arch-bip.ms.gov.pl/pl/rejestry-i-ewidencje/tlumacze-przysiegli/lista-tlumaczy-przysieglych/search.html,Government official resource,,
Sources > People > Professional Registers > Other,Lista Osób Posiadających Licencję Doradcy Restrukturyzacyjnego,https://arch-bip.ms.gov.pl/pl/rejestry-i-ewidencje/lista-osob-posiadajacych-licencje-doradcy-restrukturyzacyjnego/,Government official resource,,
Sources > People > Professional Registers > Other,Rejestr przedsiębiorców wykonujących działalność regulowaną w zakresie usług detektywistycznych,https://www.gov.pl/web/mswia/rejestr-przedsiebiorcow-wykonujacych-dzialalnosc-regulowana-w-zakresie-uslug-detektywistycznych4,Polish language resource,,
Sources > People > Professional Registers > Other,znajdźBiegłego.com,https://znajdzbieglego.com/pl/,Web-based resource from znajdzbieglego.com,,
Sources > People > Death Records > By Cities,Gdańsk,https://cmentarze-gdanskie.pl/chapter_77037.asp,Polish language resource,,
Sources > People > Death Records > By Cities,Kielce,http://cmentarzekieleckie.zielen.kielce.pl/szukaj.html,Polish language resource,,
Sources > People > Death Records > By Cities,Kraków,https://zck-krakow.pl/locator,Polish language resource,,
Sources > People > Death Records > By Cities,Łódź,http://cmentarzekomunalne.lodz.systkom.pl/szukaj.html,Polish language resource,,
Sources > People > Death Records > By Cities,Olsztyn,https://msipmo.olsztyn.eu/zck/start.html?gui=new,Web-based resource from msipmo.olsztyn.eu,,
Sources > People > Death Records > By Cities,Poznań,https://www.poznan.pl/mim/necropolis/,Polish language resource,,
Sources > People > Death Records > By Cities,Szczecin,http://cmentarze.szczecin.pl/chapter_11975.asp,Polish language resource,,
Sources > People > Death Records > By Cities,Warszawa,http://www.cmentarzekomunalne.com.pl/mapa/szukaj.php,Polish language resource,,
Sources > People > Death Records > By Cities,Wrocław,https://groby.cui.wroclaw.pl/,Polish language resource,,
Sources > People > Death Records > By Cities,Zielona Góra,http://www.mzp.pl/wyszukiwarka-grobow/szukaj,Polish language resource,,
Sources > People > Death Records,Grobonet,https://grobonet.com/,Web-based resource from grobonet.com,,
Sources > People > Death Records,KsiegaZmarlych24.pl,http://ksiegazmarlych24.pl/,Polish language resource,,
Sources > People > Death Records,Web Cmentarz,https://webcmentarz.pl/,Polish language resource,,
Sources > People > Death Records,Mogiły.pl,http://mogily.pl/start,Polish language resource,,
Sources > People > Death Records,Nekrologi Warszawskie,http://www.nekrologi-baza.pl/,Polish language resource,,
Sources > People,Policja - Baza Poszukiwanych,https://poszukiwani.policja.pl/,Polish language resource,,
Sources > People,Policja - Baza Zaginionych,https://zaginieni.policja.pl/,Polish language resource,,
Sources > People,Rejestr Sprawców Przestępstw na Tle Seksualnym,https://rps.ms.gov.pl/pl-PL/Public#/,Government official resource,Registration Required,
Sources > People,Biuletyn Informacji Publicznej IPN,https://katalog.bip.ipn.gov.pl/szukaj/,Government official resource,,
Sources > People,Indeks Represjonowanych - IPN,https://indeksrepresjonowanych.pl/wyszukiwanie,Polish language resource,,
Sources > People,Centralny Rejestr Beneficjentów Rzeczywistych,https://crbr.podatki.gov.pl/adcrbr/#/wyszukaj,Government official resource,,
Sources > People,Centrum Poszukiwań Ludzi Zaginionych,http://www.zaginieni.pl/home/,Polish language resource,,
Sources > Users / Logins > Direct Links To Profiles,Allegro,https://allegro.pl/uzytkownik/username,Polish language resource,Manual/Template,
Sources > Users / Logins > Direct Links To Profiles,ipon.pl,https://www.ipon.pl/randki/profile/username,Polish language resource,Manual/Template,
Sources > Users / Logins > Tools,NAMINT,https://seintpl.github.io/NAMINT/,Web-based resource from seintpl.github.io,,
Sources > Users / Logins > Tools,WhatsMyName.app,https://whatsmyname.app/,Web-based resource from whatsmyname.app,,
Sources > Social Media > Fediverse,101010.pl,https://101010.pl/,Polish language resource,Registration Required,
Sources > Social Media > Fediverse,pol.social,https://pol.social/,Web-based resource from pol.social,Registration Required,
Sources > Social Media > Fediverse,rigcz.club,https://rigcz.club/,Web-based resource from rigcz.club,Registration Required,
Sources > Social Media > Fediverse,quitter.pl,https://quitter.pl/,Polish language resource,,
Sources > Social Media > Fediverse,Citizen4 social hub,https://soc.citizen4.eu/,Web-based resource from soc.citizen4.eu,Registration Required,
Sources > Social Media,Albicla,https://albicla.com/,Web-based resource from albicla.com,Registration Required,
Sources > Social Media,Fotka,https://fotka.com/,Web-based resource from fotka.com,Registration Required,
Sources > Social Media,GG,https://www.gg.pl/gg/pl/search,Polish language resource,,
Sources > Social Media,Katalog GG,https://katalog.gg-czaty.pl/,Polish language resource,,
Sources > Social Media,gloria.tv,https://gloria.tv/,Web-based resource from gloria.tv,,
Sources > Social Media,hejto,https://www.hejto.pl/,Polish language resource,,
Sources > Social Media,lurker,https://lurker.land/,Web-based resource from lurker.land,,
Sources > Social Media,Maxmodels,https://www.maxmodels.pl/,Polish language resource,,
Sources > Social Media,megamodels.pl,http://megamodels.pl/,Polish language resource,,
Sources > Social Media,moblo,http://moblo.pl/,Polish language resource,,
Sources > Social Media,osobie.pl,http://osobie.pl/,Polish language resource,,
Sources > Social Media,PhotoBlog,https://www.photoblog.pl/,Polish language resource,,
Sources > Social Media,szmer.info,https://szmer.info/,Web-based resource from szmer.info,,
Sources > Social Media,QUEER,https://queer.pl/users,Polish language resource,,
Sources > Social Media,Wykop,https://www.wykop.pl/mikroblog,Polish language resource,Registration Required,
Sources > Dating > Sex,cichodaje.pl,https://cichodaje.pl/,Polish language resource,,
Sources > Dating > Sex,Datezone,https://www.datezone.com/,Web-based resource from datezone.com,Registration Required,
Sources > Dating > Sex,erodate,https://www.erodate.pl/,Polish language resource,Registration Required,
Sources > Dating > Sex,Zbiornik,https://zbiornik.com/,Web-based resource from zbiornik.com,Registration Required,
Sources > Dating,Sympatia,https://sympatia.onet.pl/,Polish language resource,Registration Required,
Sources > Dating,eDarling,https://www.edarling.pl/,Polish language resource,Registration Required,
Sources > Dating,ZaadoptujFaceta,https://www.zaadoptujfaceta.pl/,Polish language resource,Registration Required,
Sources > Dating,Przeznaczeni,https://www.przeznaczeni.pl/,Polish language resource,Registration Required,
Sources > Dating,Poznajmy Się,https://poznajmysie.pl/,Polish language resource,,
Sources > Dating,ipon,https://www.ipon.pl/randki/,Polish language resource,,
Sources > Companies / Organizations > Ratings,Absolvent,https://www.absolvent.pl/pracodawcy/,Polish language resource,,
Sources > Companies / Organizations > Ratings,GoWork,https://www.gowork.pl/opinie,Polish language resource,,
Sources > Companies / Organizations > Ratings,Opracodawcach.pl,http://www.opracodawcach.pl/,Polish language resource,,
Sources > Companies / Organizations > Ratings,Panorama Firm,https://panoramafirm.pl/,Polish language resource,,
Sources > Companies / Organizations > Registers > By Industry,Centralna Ewidencja Organizatorów Turystyki,https://ewidencja.ufg.pl/ewidencja/obywatel/ksiegi,Polish language resource,,
